Total Area,Average Area,Std of Area,Average Diameter,Std of Diameter,Ratio of particles
234.11519999999996,1.2193499999999997,1.5542288562177708,1.625,0.6792459053980378,0.01550483703613281
No.,Area,Diameter,Location
85,2.5343999999999998,2.16,"[18.200757575757574, 323.6136363636364]"
86,0.8639999999999999,1.68,"[425.01111111111106, 321.71111111111105]"
87,1.2384,1.44,"[387.3798449612403, 319.62015503875966]"
88,1.0368,1.44,"[28.02777777777778, 318.92592592592587]"
89,1.0943999999999998,2.16,"[357.42105263157896, 315.0438596491228]"
90,0.8063999999999999,1.68,"[180.33333333333331, 311.73809523809524]"
91,1.6992,2.4,"[153.01694915254237, 317.4011299435028]"
92,1.3247999999999998,1.68,"[454.07246376811594, 310.3188405797101]"
93,0.6623999999999999,1.2,"[477.39130434782606, 303.07246376811594]"
94,0.5471999999999999,1.2,"[108.78947368421052, 299.59649122807014]"
95,1.7567999999999997,2.16,"[254.2622950819672, 298.1420765027322]"
96,4.4639999999999995,3.84,"[172.89892473118277, 301.3698924731182]"
97,0.6048,1.68,"[479.9682539682539, 296.57142857142856]"
98,0.6048,0.96,"[98.07936507936508, 293.44444444444446]"
99,0.6048,1.2,"[87.6984126984127, 291.7142857142857]"
100,1.2384,1.92,"[330.96124031007747, 291.5736434108527]"
101,1.4687999999999999,1.68,"[166.28104575163397, 291.6797385620915]"
102,0.9216,1.44,"[197.33333333333331, 289.90625]"
103,1.9584,2.16,"[426.69117647058823, 288.2549019607843]"
104,0.72,1.2,"[181.4, 286.06666666666666]"
105,0.5184,1.2,"[430.2407407407407, 279.72222222222223]"
106,0.8927999999999999,1.44,"[466.7741935483871, 278.5698924731183]"
107,1.8719999999999999,1.92,"[178.25641025641025, 268.3179487179487]"
108,0.5471999999999999,1.2,"[154.4035087719298, 263.66666666666663]"
109,0.6911999999999999,1.2,"[278.0, 262.65277777777777]"
110,0.5471999999999999,1.2,"[126.80701754385963, 257.5438596491228]"
111,0.8063999999999999,1.2,"[25.0, 257.0]"
112,0.576,0.96,"[325.5, 256.0]"
113,0.6911999999999999,1.68,"[109.8611111111111, 253.40277777777774]"
114,0.6048,1.68,"[34.888888888888886, 255.7301587301587]"
115,1.0655999999999999,1.92,"[396.7567567567568, 251.2342342342342]"
116,0.5184,0.96,"[276.3148148148148, 247.70370370370367]"
117,2.4768,2.88,"[251.62790697674419, 246.12015503875966]"
118,0.7776,1.68,"[70.45679012345678, 242.24691358024688]"
119,0.6623999999999999,1.68,"[13.782608695652174, 235.50724637681157]"
120,0.6048,1.2,"[503.6349206349206, 224.61904761904762]"
121,0.8063999999999999,1.2,"[444.7857142857143, 221.69047619047618]"
122,0.5471999999999999,1.2,"[129.80701754385964, 222.61403508771926]"
123,1.6992,1.68,"[14.627118644067796, 222.96610169491527]"
124,0.6335999999999999,1.2,"[470.25757575757575, 219.6818181818182]"
125,0.6623999999999999,1.68,"[54.7536231884058, 219.94202898550722]"
126,0.6623999999999999,1.2,"[362.5942028985507, 213.7246376811594]"
127,0.5471999999999999,1.44,"[244.2456140350877, 207.19298245614036]"
128,0.7776,1.2,"[413.9012345679012, 198.45679012345678]"
129,0.6048,1.2,"[360.77777777777777, 198.60317460317458]"
130,0.6335999999999999,1.2,"[280.8181818181818, 190.22727272727272]"
131,0.5471999999999999,1.2,"[234.859649122807, 175.91228070175438]"
132,0.6911999999999999,1.2,"[143.0, 175.33333333333334]"
133,0.5184,0.96,"[477.44444444444446, 172.7037037037037]"
134,0.6623999999999999,1.2,"[333.3623188405797, 166.68115942028984]"
135,1.2096,1.44,"[207.15079365079362, 166.66666666666666]"
136,0.6048,1.2,"[76.07936507936508, 165.77777777777777]"
137,0.8927999999999999,1.44,"[167.8494623655914, 163.49462365591395]"
138,0.9216,1.2,"[299.8125, 162.375]"
139,1.152,1.44,"[155.525, 152.68333333333334]"
140,0.5471999999999999,1.2,"[484.1929824561403, 148.140350877193]"
141,0.9503999999999999,1.2,"[444.5959595959596, 148.1111111111111]"
142,1.008,1.44,"[129.84761904761902, 146.33333333333331]"
143,0.6335999999999999,1.2,"[289.030303030303, 144.54545454545453]"
144,1.7279999999999998,1.68,"[154.13333333333333, 140.98888888888888]"
145,0.72,1.2,"[459.69333333333327, 136.9333333333333]"
146,0.5184,0.96,"[68.37037037037037, 125.0185185185185]"
147,0.5184,1.44,"[89.55555555555556, 124.40740740740739]"
148,1.9295999999999998,1.68,"[116.37810945273631, 120.33830845771143]"
149,0.5471999999999999,1.2,"[320.2280701754386, 118.38596491228068]"
150,0.8927999999999999,1.2,"[209.88172043010752, 116.2043010752688]"
151,0.6335999999999999,1.44,"[7.545454545454546, 117.04545454545455]"
152,0.8639999999999999,1.2,"[325.0, 113.63333333333334]"
153,0.5471999999999999,1.2,"[219.61403508771926, 111.38596491228068]"
154,0.8063999999999999,1.2,"[349.2142857142857, 110.42857142857143]"
155,0.6911999999999999,1.2,"[162.63888888888889, 101.6111111111111]"
156,1.0943999999999998,1.68,"[82.3157894736842, 104.82456140350877]"
157,1.152,1.44,"[6.05, 92.65]"
158,1.2096,1.44,"[218.33333333333334, 91.52380952380952]"
159,2.0448,2.4,"[317.7464788732394, 90.50704225352112]"
160,2.4768,2.6399999999999997,"[158.56201550387595, 90.12403100775192]"
161,0.7776,1.2,"[499.679012345679, 87.34567901234567]"
162,1.4687999999999999,1.68,"[163.15032679738562, 71.18954248366013]"
163,1.6992,2.6399999999999997,"[240.64971751412426, 66.87570621468926]"
164,0.7488,1.2,"[359.32051282051276, 63.38461538461539]"
165,0.6335999999999999,1.2,"[100.31818181818181, 62.54545454545455]"
166,0.576,1.2,"[44.93333333333333, 59.666666666666664]"
167,2.2464,1.92,"[173.7051282051282, 60.64102564102564]"
168,0.6335999999999999,1.2,"[151.86363636363637, 58.42424242424242]"
169,2.2752,2.16,"[169.87763713080167, 48.042194092827]"
170,0.5471999999999999,1.2,"[218.0877192982456, 42.03508771929825]"
171,5.126399999999999,2.88,"[250.7453183520599, 42.54307116104869]"
172,1.3823999999999999,1.68,"[97.5, 39.54861111111111]"
173,0.7776,1.2,"[219.98765432098764, 33.82716049382716]"
174,1.9295999999999998,1.68,"[461.7512437810945, 29.771144278606965]"
175,1.44,1.92,"[59.39333333333333, 28.73333333333333]"
176,0.5184,0.96,"[411.1666666666667, 23.555555555555557]"
177,0.6048,1.2,"[110.17460317460316, 22.761904761904763]"
178,0.5471999999999999,1.2,"[277.64912280701753, 22.19298245614035]"
179,0.6048,1.44,"[14.53968253968254, 20.317460317460316]"
180,0.8351999999999999,1.92,"[209.42528735632183, 20.103448275862068]"
181,0.6048,1.2,"[335.73015873015873, 18.365079365079364]"
182,1.6127999999999998,1.68,"[226.875, 18.541666666666664]"
183,1.4112,1.68,"[93.20408163265306, 14.340136054421768]"
184,0.9216,1.92,"[50.42708333333333, 12.21875]"
185,2.7935999999999996,3.36,"[27.2680412371134, 13.326460481099655]"
186,1.3247999999999998,1.68,"[57.21739130434783, 8.855072463768115]"
187,2.0736,2.16,"[14.319444444444445, 9.439814814814815]"
188,0.6911999999999999,1.44,"[147.4722222222222, 5.152777777777778]"
189,2.5056,2.16,"[131.70498084291185, 5.881226053639846]"
190,1.4976,1.92,"[3.7179487179487176, 4.826923076923077]"
191,7.804799999999998,4.32,"[102.67404674046739, 8.942189421894218]"
192,0.6335999999999999,1.2,"[79.60606060606061, 3.272727272727273]"
