Total Area,Average Area,Std of Area,Average Diameter,Std of Diameter,Ratio of particles
52913.46239999999,16.122322486288844,49.166767090174226,4.676928702010969,4.198172415165643,0.2190200090408325
No.,Area,Diameter,Location
61,37.785599999999995,9.12,"[400.1280487804878, 2012.5315040650405]"
62,1.0655999999999999,1.68,"[1659.126126126126, 1997.8468468468468]"
63,5.1552,3.12,"[1609.0502793296089, 2001.0130353817503]"
64,2.7072,3.36,"[346.40070921985813, 2001.6241134751772]"
65,1.5552,2.4,"[1626.1234567901233, 1999.7962962962963]"
66,102.8736,16.08,"[899.2225643896976, 2022.1184210526317]"
67,0.5184,1.44,"[235.72222222222223, 1996.2037037037035]"
68,26.841599999999996,6.4799999999999995,"[1764.0740343347638, 2004.6326895565091]"
69,15.177599999999998,6.72,"[683.9158760278304, 2004.46110056926]"
70,4.579199999999999,3.84,"[216.77568134171904, 2000.8134171907755]"
71,6.249599999999999,5.04,"[1034.2488479262672, 2001.1182795698924]"
72,1.0368,1.92,"[689.8333333333334, 1993.611111111111]"
73,6.4799999999999995,4.32,"[361.9851851851851, 2000.7392592592591]"
74,0.6623999999999999,1.44,"[1603.0289855072463, 1990.5942028985505]"
75,7.7472,5.04,"[1428.3717472118958, 1997.7657992565055]"
76,4.0607999999999995,2.88,"[1689.3498817966902, 1991.789598108747]"
77,4.5504,3.12,"[228.78481012658227, 1988.7088607594937]"
78,1.2096,2.16,"[1729.4841269841268, 1985.1349206349205]"
79,12.124799999999999,6.72,"[877.6935866983373, 1994.4726840855108]"
80,7.055999999999999,4.32,"[257.49523809523805, 1991.56462585034]"
81,0.5184,2.4,"[303.59259259259255, 1984.7777777777778]"
82,1.0655999999999999,1.92,"[1765.036036036036, 1981.0180180180178]"
83,1.152,2.16,"[313.66666666666663, 1980.0666666666664]"
84,2.4768,2.16,"[337.13565891472865, 1977.8255813953488]"
85,85.88159999999999,15.84,"[171.0598032640286, 2017.1465459423207]"
86,111.36959999999999,14.16,"[1494.6171019739677, 2014.4376346866648]"
87,11.577599999999999,4.8,"[1319.6542288557214, 1982.6550580431176]"
88,6.451199999999999,4.32,"[428.9940476190476, 1982.952380952381]"
89,7.5168,4.8,"[271.68454661558104, 1981.361430395913]"
90,5.1552,3.5999999999999996,"[450.43575418994413, 1977.80260707635]"
91,31.823999999999998,7.199999999999999,"[1087.694720965309, 1983.7734539969833]"
92,1.0943999999999998,2.6399999999999997,"[702.1315789473684, 1975.2017543859647]"
93,55.583999999999996,11.52,"[468.6784110535406, 1991.9428324697753]"
94,2.3327999999999998,2.88,"[316.0781893004115, 1971.2263374485594]"
95,1.6992,2.6399999999999997,"[1249.1807909604518, 1969.4745762711864]"
96,20.016,8.879999999999999,"[915.9328537170263, 1977.7309352517987]"
97,50.80319999999999,12.0,"[654.9453892668178, 1995.8732048374904]"
98,1.1232,3.12,"[2040.5384615384614, 1965.8803418803418]"
99,1.008,1.92,"[1904.4571428571428, 1965.7047619047617]"
100,23.097599999999996,8.16,"[1722.2635078969242, 1975.7759767248544]"
101,143.6256,18.24,"[1286.4009758705968, 1999.443085355257]"
102,0.72,2.16,"[291.16, 1964.8533333333332]"
103,93.2256,13.68,"[111.33807022963649, 1991.571516836577]"
104,1.9584,2.6399999999999997,"[1386.2598039215684, 1963.862745098039]"
105,3.3984,2.88,"[304.02259887005647, 1964.7175141242938]"
106,171.5328,23.759999999999998,"[1977.0742108797851, 1992.6314640698456]"
107,1.6127999999999998,2.6399999999999997,"[1755.4285714285713, 1965.0833333333333]"
108,30.643199999999997,8.16,"[75.39035087719297, 1972.1234335839597]"
109,8.2656,4.08,"[945.5458768873401, 1965.9128919860627]"
110,105.23519999999999,15.12,"[988.4776500638569, 1987.2540594781974]"
111,1.7279999999999998,2.4,"[959.9888888888888, 1957.7833333333333]"
112,51.75359999999999,12.24,"[387.67983676497863, 1974.6047115562974]"
113,177.2352,18.24,"[1869.7807929801754, 1988.1186220344491]"
114,8.092799999999999,5.76,"[1606.574139976275, 1964.679715302491]"
115,9.216,4.32,"[333.5229166666667, 1959.0239583333332]"
116,5.788799999999999,4.08,"[1703.2719734660031, 1959.2603648424542]"
117,2.4768,2.4,"[906.8565891472867, 1954.1007751937984]"
118,48.84479999999999,8.4,"[241.72779088050314, 1964.1242138364778]"
119,1.5263999999999998,1.92,"[1363.1257861635218, 1950.1257861635218]"
120,16.415999999999997,5.52,"[210.68245614035087, 1957.1333333333334]"
121,3.9455999999999993,3.84,"[1821.23600973236, 1953.9294403892943]"
122,2.016,2.4,"[1683.3190476190475, 1950.4333333333332]"
123,1.0943999999999998,2.16,"[1300.4649122807016, 1948.4473684210527]"
124,0.8639999999999999,1.68,"[60.56666666666667, 1950.2444444444443]"
125,20.1312,8.4,"[441.15450643776825, 1953.979494515975]"
126,5.616,3.36,"[1397.719658119658, 1947.6888888888889]"
127,5.4144,3.12,"[1278.9539007092199, 1949.0425531914893]"
128,10.6272,5.04,"[1979.3839205058716, 1950.256549232159]"
129,1.0943999999999998,1.92,"[1316.298245614035, 1944.342105263158]"
130,3.8591999999999995,2.88,"[1747.7487562189053, 1948.0149253731342]"
131,10.1664,4.32,"[1169.304060434372, 1948.4145420207742]"
